id,class
2001,EI
2002,N
2003,EI
2004,N
2005,N
2006,N
2007,N
2008,EI
2009,N
2010,N
2011,N
2012,N
2013,EI
2014,N
2015,EI
2016,IE
2017,N
2018,EI
2019,EI
2020,N
2021,N
2022,N
2023,EI
2024,EI
2025,N
2026,EI
2027,N
2028,N
2029,N
2030,EI
2031,EI
2032,N
2033,N
2034,N
2035,EI
2036,EI
2037,EI
2038,EI
2039,EI
2040,EI
2041,EI
2042,EI
2043,EI
2044,EI
2045,EI
2046,EI
2047,EI
2048,EI
2049,EI
2050,N
2051,N
2052,EI
2053,N
2054,N
2055,EI
2056,N
2057,N
2058,EI
2059,EI
2060,EI
2061,EI
2062,EI
2063,EI
2064,EI
2065,EI
2066,N
2067,N
2068,EI
2069,N
2070,N
2071,N
2072,EI
2073,N
2074,N
2075,N
2076,EI
2077,N
2078,N
2079,N
2080,N
2081,EI
2082,N
2083,EI
2084,EI
2085,EI
2086,EI
2087,EI
2088,EI
2089,N
2090,EI
2091,N
2092,EI
2093,EI
2094,N
2095,N
2096,N
2097,N
2098,N
2099,EI
2100,N
2101,EI
2102,N
2103,N
2104,N
2105,IE
2106,N
2107,EI
2108,N
2109,N
2110,EI
2111,N
2112,N
2113,N
2114,N
2115,EI
2116,EI
2117,N
2118,N
2119,N
2120,N
2121,EI
2122,N
2123,N
2124,N
2125,EI
2126,N
2127,EI
2128,N
2129,N
2130,EI
2131,EI
2132,N
2133,EI
2134,EI
2135,N
2136,EI
2137,IE
2138,N
2139,N
2140,EI
2141,EI
2142,EI
2143,EI
2144,N
2145,N
2146,N
2147,N
2148,N
2149,N
2150,N
2151,EI
2152,N
2153,EI
2154,N
2155,EI
2156,N
2157,N
2158,N
2159,IE
2160,EI
2161,N
2162,EI
2163,EI
2164,EI
2165,EI
2166,EI
2167,N
2168,EI
2169,EI
2170,N
2171,EI
2172,N
2173,N
2174,EI
2175,N
2176,N
2177,EI
2178,EI
2179,EI
2180,EI
2181,EI
2182,N
2183,N
2184,EI
2185,EI
2186,EI
2187,EI
2188,N
2189,EI
2190,N
2191,EI
2192,EI
2193,N
2194,EI
2195,EI
2196,N
2197,EI
2198,EI
2199,N
2200,N
2201,N
2202,IE
2203,N
2204,N
2205,N
2206,EI
2207,EI
